NCM;inicio_vigencia;fim_vigencia;uTrib_abreviatura;Descricao_uTrib;
03035300;01/01/2016;;KG;Quilograma;
03035400;01/01/2016;;KG;Quilograma;
03035500;01/01/2016;;KG;Quilograma;
03035600;01/01/2016;;KG;Quilograma;
03035700;01/01/2016;;KG;Quilograma;
03035910;01/01/2017;;KG;Quilograma;
03035920;01/01/2017;;KG;Quilograma;
03035990;01/01/2017;;KG;Quilograma;
03036300;01/01/2016;;KG;Quilograma;
03036400;01/01/2016;;KG;Quilograma;
03036500;01/01/2016;;KG;Quilograma;
03036600;01/01/2016;;KG;Quilograma;
03036700;01/01/2016;;KG;Quilograma;
03036800;01/01/2016;;KG;Quilograma;
03036910;01/01/2016;;KG;Quilograma;
03036990;01/01/2016;;KG;Quilograma;
03038111;01/01/2016;;KG;Quilograma;
03038112;01/01/2016;;KG;Quilograma;
03038113;01/01/2016;;KG;Quilograma;
03038114;01/01/2016;;KG;Quilograma;
03038119;01/01/2016;;KG;Quilograma;
03038190;01/01/2016;;KG;Quilograma;
03038200;01/01/2016;;KG;Quilograma;
03038311;01/01/2016;;KG;Quilograma;
03038319;01/01/2016;;KG;Quilograma;
03038321;01/01/2016;;KG;Quilograma;
03038329;01/01/2016;;KG;Quilograma;
03038400;01/01/2016;;KG;Quilograma;
03038910;01/01/2016;;KG;Quilograma;
03038920;01/01/2016;;KG;Quilograma;
03038932;01/01/2016;;KG;Quilograma;
03038933;01/01/2016;;KG;Quilograma;
03038941;01/01/2016;;KG;Quilograma;
03038942;01/01/2016;;KG;Quilograma;
03038943;01/01/2016;;KG;Quilograma;
03038944;01/01/2016;;KG;Quilograma;
03038945;01/01/2016;;KG;Quilograma;
03038946;01/01/2016;;KG;Quilograma;
03038951;01/01/2016;;KG;Quilograma;
03038952;01/01/2016;;KG;Quilograma;
03038953;01/01/2016;;KG;Quilograma;
03038954;01/01/2016;;KG;Quilograma;
03038955;01/01/2016;;KG;Quilograma;
03038956;01/01/2016;;KG;Quilograma;
03038961;01/01/2016;;KG;Quilograma;
03038962;01/01/2016;;KG;Quilograma;
03038963;01/01/2016;;KG;Quilograma;
03038964;01/01/2016;;KG;Quilograma;
03038965;01/01/2016;;KG;Quilograma;
03038990;01/01/2016;;KG;Quilograma;
03039100;01/01/2017;31/03/2023;KG;Quilograma;
03039110;01/04/2023;;KG;Quilograma;
03039190;01/04/2023;;KG;Quilograma;
03039200;01/01/2017;;KG;Quilograma;
03039910;01/01/2017;;KG;Quilograma;
03039920;01/01/2017;;KG;Quilograma;
03039990;01/01/2017;;KG;Quilograma;
03043100;01/01/2016;;KG;Quilograma;
03043210;01/01/2016;;KG;Quilograma;
03043290;01/01/2016;;KG;Quilograma;
03043300;01/01/2016;;KG;Quilograma;
03043900;01/01/2016;;KG;Quilograma;
03044100;01/01/2016;;KG;Quilograma;
03044200;01/01/2016;;KG;Quilograma;
03044300;01/01/2016;;KG;Quilograma;
03044400;01/01/2016;;KG;Quilograma;
03044500;01/01/2016;;KG;Quilograma;
03044600;01/01/2016;;KG;Quilograma;
03044700;01/01/2017;;KG;Quilograma;
03044800;01/01/2017;;KG;Quilograma;
03044910;01/01/2016;;KG;Quilograma;
03044920;01/01/2016;;KG;Quilograma;
03044990;01/01/2016;;KG;Quilograma;
03045100;01/01/2016;;KG;Quilograma;
03045200;01/01/2016;;KG;Quilograma;
03045300;01/01/2016;;KG;Quilograma;
03045400;01/01/2016;;KG;Quilograma;
03045500;01/01/2016;;KG;Quilograma;
03045600;01/01/2017;;KG;Quilograma;
03045700;01/01/2017;;KG;Quilograma;
03045900;01/01/2016;;KG;Quilograma;
03046100;01/01/2016;;KG;Quilograma;
03046210;01/01/2016;;KG;Quilograma;
03046290;01/01/2016;;KG;Quilograma;
03046300;01/01/2016;;KG;Quilograma;
03046900;01/01/2016;;KG;Quilograma;
03047100;01/01/2016;;KG;Quilograma;
03047200;01/01/2016;;KG;Quilograma;
03047300;01/01/2016;;KG;Quilograma;
03047400;01/01/2016;;KG;Quilograma;
03047500;01/01/2016;;KG;Quilograma;
03047900;01/01/2016;;KG;Quilograma;
03048100;01/01/2016;;KG;Quilograma;
03048200;01/01/2016;;KG;Quilograma;
03048300;01/01/2016;;KG;Quilograma;
03048400;01/01/2016;;KG;Quilograma;
03048510;01/01/2016;;KG;Quilograma;
03048520;01/01/2016;;KG;Quilograma;
03048600;01/01/2016;;KG;Quilograma;
03048700;01/01/2016;;KG;Quilograma;
03048810;01/01/2017;;KG;Quilograma;
03048890;01/01/2017;;KG;Quilograma;
03048910;01/01/2016;;KG;Quilograma;
03048920;01/01/2016;;KG;Quilograma;
03048930;01/01/2016;;KG;Quilograma;
03048990;01/01/2016;;KG;Quilograma;
03049100;01/01/2016;;KG;Quilograma;
03049211;01/01/2016;;KG;Quilograma;
03049212;01/01/2016;;KG;Quilograma;
03049219;01/01/2016;;KG;Quilograma;
03049221;01/01/2016;;KG;Quilograma;
03049222;01/01/2016;;KG;Quilograma;
03049229;01/01/2016;;KG;Quilograma;
03049300;01/01/2016;;KG;Quilograma;
03049400;01/01/2016;;KG;Quilograma;
03049500;01/01/2016;;KG;Quilograma;
03049600;01/01/2017;;KG;Quilograma;
03049700;01/01/2017;;KG;Quilograma;
03049900;01/01/2016;;KG;Quilograma;
03052000;01/01/2016;31/03/2023;KG;Quilograma;
03052010;01/04/2023;;KG;Quilograma;
03052090;01/04/2023;;KG;Quilograma;
03053100;01/01/2016;;KG;Quilograma;
03053210;01/01/2016;;KG;Quilograma;
03053220;01/01/2016;;KG;Quilograma;
03053230;01/01/2017;;KG;Quilograma;
03053290;01/01/2016;;KG;Quilograma;
03053900;01/01/2017;;KG;Quilograma;
03054100;01/01/2016;;KG;Quilograma;
03054200;01/01/2016;;KG;Quilograma;
03054300;01/01/2016;;KG;Quilograma;
03054400;01/01/2016;;KG;Quilograma;
03054910;01/01/2016;;KG;Quilograma;
03054920;01/01/2016;;KG;Quilograma;
03054990;01/01/2016;;KG;Quilograma;
03055100;01/01/2016;;KG;Quilograma;
03055200;01/01/2017;;KG;Quilograma;
03055310;01/01/2017;;KG;Quilograma;
03055390;01/01/2017;;KG;Quilograma;
03055400;01/01/2017;;KG;Quilograma;
03055900;01/01/2017;;KG;Quilograma;
03056100;01/01/2016;;KG;Quilograma;
03056200;01/01/2016;;KG;Quilograma;
03056300;01/01/2016;;KG;Quilograma;
03056400;01/01/2016;;KG;Quilograma;
03056910;01/01/2016;;KG;Quilograma;
03056990;01/01/2016;;KG;Quilograma;
03057100;01/01/2016;;KG;Quilograma;
03057200;01/01/2016;;KG;Quilograma;
03057900;01/01/2016;;KG;Quilograma;
03061110;01/01/2016;;KG;Quilograma;
03061190;01/01/2016;;KG;Quilograma;
03061200;01/01/2016;;KG;Quilograma;
03061400;01/01/2016;;KG;Quilograma;
03061500;01/01/2016;;KG;Quilograma;
03061610;01/01/2016;;KG;Quilograma;
03061690;01/01/2016;;KG;Quilograma;
03061710;01/01/2016;;KG;Quilograma;
03061790;01/01/2016;;KG;Quilograma;
03061910;01/01/2016;;KG;Quilograma;
03061990;01/01/2016;;KG;Quilograma;
03063100;01/01/2017;;KG;Quilograma;
03063200;01/01/2017;;KG;Quilograma;
03063300;01/01/2017;;KG;Quilograma;
03063400;01/01/2017;;KG;Quilograma;
03063500;01/01/2017;;KG;Quilograma;
03063600;01/01/2017;;KG;Quilograma;
03063910;01/01/2017;;KG;Quilograma;
03063990;01/01/2017;;KG;Quilograma;
03069100;01/01/2017;;KG;Quilograma;
03069200;01/01/2017;;KG;Quilograma;
03069300;01/01/2017;;KG;Quilograma;
03069400;01/01/2017;;KG;Quilograma;
03069500;01/01/2017;;KG;Quilograma;
03069910;01/01/2017;;KG;Quilograma;
03069990;01/01/2017;;KG;Quilograma;
03071100;01/01/2016;;KG;Quilograma;
03071200;01/01/2017;;KG;Quilograma;
03071900;01/01/2016;;KG;Quilograma;
03072100;01/01/2016;;KG;Quilograma;
03072200;01/01/2017;;KG;Quilograma;
03072900;01/01/2016;;KG;Quilograma;
03073100;01/01/2016;;KG;Quilograma;
03073200;01/01/2017;;KG;Quilograma;
03073900;01/01/2016;;KG;Quilograma;
03074200;01/01/2017;;KG;Quilograma;
03074310;01/01/2017;;KG;Quilograma;
03074320;01/01/2017;;KG;Quilograma;
03074900;01/01/2017;;KG;Quilograma;
03075100;01/01/2016;;KG;Quilograma;
03075200;01/01/2017;;KG;Quilograma;
03075900;01/01/2017;;KG;Quilograma;
03076000;01/01/2016;;KG;Quilograma;
03077100;01/01/2016;;KG;Quilograma;
03077200;01/01/2017;;KG;Quilograma;
03077900;01/01/2016;;KG;Quilograma;
03078100;01/01/2016;;KG;Quilograma;
03078200;01/01/2017;;KG;Quilograma;
03078300;01/01/2017;;KG;Quilograma;
03078400;01/01/2017;;KG;Quilograma;
03078700;01/01/2017;;KG;Quilograma;
03078800;01/01/2017;;KG;Quilograma;
03079100;01/01/2016;;KG;Quilograma;
03079200;01/01/2017;;KG;Quilograma;
03079900;01/01/2016;;KG;Quilograma;
03081100;01/01/2016;;KG;Quilograma;
03081200;01/01/2017;;KG;Quilograma;
03081900;01/01/2016;;KG;Quilograma;
03082100;01/01/2016;;KG;Quilograma;
03082200;01/01/2017;;KG;Quilograma;
03082900;01/01/2016;;KG;Quilograma;
03083000;01/01/2016;;KG;Quilograma;
03089000;01/01/2016;;KG;Quilograma;
03091000;01/04/2022;;KG;Quilograma;
03099000;01/04/2022;;KG;Quilograma;
04011010;01/01/2016;;KG;Quilograma;
04011090;01/01/2016;;KG;Quilograma;
04012010;01/01/2016;;KG;Quilograma;
04012090;01/01/2016;;KG;Quilograma;
04014010;01/01/2016;;KG;Quilograma;
04014021;01/01/2016;;KG;Quilograma;
04014029;01/01/2016;;KG;Quilograma;
04015010;01/01/2016;;KG;Quilograma;
04015021;01/01/2016;;KG;Quilograma;
04015029;01/01/2016;;KG;Quilograma;
04021010;01/01/2016;;KG;Quilograma;
04021090;01/01/2016;;KG;Quilograma;
04022110;01/01/2016;;KG;Quilograma;
04022120;01/01/2016;;KG;Quilograma;
04022130;01/01/2016;;KG;Quilograma;
04022910;01/01/2016;;KG;Quilograma;
04022920;01/01/2016;;KG;Quilograma;
04022930;01/01/2016;;KG;Quilograma;
04029100;01/01/2016;;KG;Quilograma;
04029900;01/01/2016;;KG;Quilograma;
04032000;01/04/2022;;KG;Quilograma;
04039000;01/01/2016;;KG;Quilograma;
04041000;01/01/2016;;KG;Quilograma;
04049000;01/01/2016;;KG;Quilograma;
04051000;01/01/2016;;KG;Quilograma;
04052000;01/01/2016;;KG;Quilograma;
04059010;01/01/2016;;KG;Quilograma;
04059090;01/01/2016;;KG;Quilograma;
04061010;01/01/2016;;KG;Quilograma;
04061090;01/01/2016;;KG;Quilograma;
04062000;01/01/2016;;KG;Quilograma;
04063000;01/01/2016;;KG;Quilograma;
04064000;01/01/2016;;KG;Quilograma;
04069010;01/01/2016;;KG;Quilograma;
04069020;01/01/2016;;KG;Quilograma;
04069030;01/01/2016;;KG;Quilograma;
04069090;01/01/2016;;KG;Quilograma;
04071100;01/01/2016;;DUZIA;Duzia;
04071900;01/01/2016;;DUZIA;Duzia;
04072100;01/01/2016;;DUZIA;Duzia;
04072900;01/01/2016;;DUZIA;Duzia;
04079000;01/01/2016;;KG;Quilograma;
